time,length,frequency,pan,gain,voice,event
0.0,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.03333333333333333,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.06666666666666667,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.1,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.13333333333333333,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.16666666666666666,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.2,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.23333333333333334,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.26666666666666666,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.3,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.3333333333333333,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.36666666666666664,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.4,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.43333333333333335,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.4666666666666667,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.5,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.5333333333333333,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.5666666666666667,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.6,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.6333333333333333,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.6666666666666666,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.7,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.7333333333333333,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.7666666666666667,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.8,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.8333333333333334,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.8666666666666667,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.9,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.9333333333333333,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
0.9666666666666667,0.03333333333333333,0.5207113404111031,0.0,1.0,0,0
